Beer Style,Beer Substyle,Beer Name,Brewery,,,,,,,
Brown Ales,Brown Ale - Belgian Dark,Werewolf,Rinkuškiai,,,,,,,
Brown Ales,Brown Ale - English,Woodmaster,Short's Brewing Company,,,,,,,
Dark Ales,Dubbel,Maudite,Unibroue,,,,,,,
Dark Ales,Dubbel,Abbey Ale,Brewery Ommegang,,,,,,,
Dark Ales,Dubbel,Westmalle Trappist Dubbel,Brouwerij Westmalle,,,,,,,
Dark Ales,Dubbel,Trappistes Rochefort 6,Brasserie de Rochefort,,,,,,,
Dark Ales,Dubbel,Prior 8,Brouwerij St. Bernardus NV,,,,,,,
Dark Ales,Dubbel,Trappist Westvleteren 8 (VIII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),,,,,,,
Dark Ales,Dubbel,Maredsous 8 - Brune,Brouwerij Duvel Moortgat NV,,,,,,,
Dark Ales,Dubbel,Single Digit Dubbel Belgian-Style Dubbel Ale,Smuttynose Brewing Company,,,,,,,
Dark Ales,Dubbel,La Trappe Dubbel (Koningshoeven / Dominus),Bierbrouwerij De Koningshoeven B.V.,,,,,,,
Dark Ales,Dubbel,Trappist Achel 8° Bruin,Brouwerij der St. Benedictusabdij de Achelse,,,,,,,
Dark Ales,Dubbel,Lost & Found,The Lost Abbey,,,,,,,
Dark Ales,Dubbel,Bornem Double,Brouwerij Van Steenberge N.V.,,,,,,,
Dark Ales,Dubbel,Abbey Ale,Abita Brewing Co.,,,,,,,
Dark Ales,Dubbel,Brother David's Belgian-style Double Ale,Anderson Valley Brewing Company,,,,,,,
Dark Ales,Dubbel,Brune,Brasserie de l'Abbaye du Val-Dieu,,,,,,,
Dark Ales,Dubbel,St. Feuillien Brune,Brasserie St. Feuillien,,,,,,,
Dark Ales,Dubbel,Siamese Twin Ale,Uncommon Brewers,,,,,,,
Dark Ales,Dubbel,St. Vincent's Dubbel,Captain Lawrence Brewing Co.,,,,,,,
Dark Ales,Dubbel,St Martin Brune,Brasserie De Brunehaut,,,,,,,
Dark Ales,Winter Warmer,Christmas Ale,Great Lakes Brewing Co.,,,,,,,
Dark Ales,Winter Warmer,Jubelale,Deschutes Brewery,,,,,,,
Dark Ales,Winter Warmer,Fireside Chat,21st Amendment Brewery,,,,,,,
Dark Ales,Winter Warmer,4 Elf,Dark Horse Brewing Company,,,,,,,
Dark Ales,Winter Warmer,Festive Ale,SweetWater Brewing Company,,,,,,,
Dark Ales,Winter Warmer,12 Dogs Of Christmas Ale,Thirsty Dog Brewing Company,,,,,,,
Dark Ales,Winter Warmer,Barrel Aged Brrrbon (Brothers' Reserve Series),Widmer Brothers Brewing Company,,,,,,,
Dark Ales,Winter Warmer,Christmas Ale,The Schlafly Tap Room,,,,,,,
Dark Ales,Winter Warmer,Bourbon Barrel Aged Winter Warmer,Rahr & Sons Brewing Company,,,,,,,
Dark Ales,Winter Warmer,Frosted Frog Christmas Ale,Hoppin' Frog Brewery,,,,,,,
Dark Ales,Winter Warmer,God Jul,Nøgne Ø,,,,,,,
Dark Ales,Winter Warmer,Special Holiday Ale,Nøgne Ø,,,,,,,
Dark Ales,Winter Warmer,Winter Warmer,Rahr & Sons Brewing Company,,,,,,,
Dark Lagers,Lager - Märzen,The Kaiser,Avery Brewing Company,,,,,,,
Dark Lagers,Lager - Rauchbier,Aecht Schlenkerla Eiche,Brauerei Heller-Trum / Schlenkerla,,,,,,,
Dark Lagers,Lager - Rauchbier,Samuel Adams Cinder Bock,Boston Beer Company (Samuel Adams),,,,,,,
Dark Lagers,Lager - Schwarzbier,Sustenance Black Beer - Bourbon Barrel-Aged,Short's Brewing Company,,,,,,,
Hybrid Beers,Bière de Champagne / Bière Brut,DeuS (Brut Des Flandres),Brouwerij Bosteels,,,,,,,
Hybrid Beers,Bière de Champagne / Bière Brut,Malheur Bière Brut (Brut Reserve),Brouwerij De Landtsheer NV,,,,,,,
Hybrid Beers,Bière de Champagne / Bière Brut,Malheur Brut Noir (Black Chocolate),Brouwerij De Landtsheer NV,,,,,,,
Hybrid Beers,Braggot,Brother Adam's Bragget Ale,Atlantic Brewing Company / Mainely Meat BBQ,,,,,,,
Hybrid Beers,Cream Ale,Regular Coffee,Carton Brewing Company,,,,,,,
India Pale Ales,IPA - American,Sculpin - Habanero,Ballast Point Brewing Company,,,,,,,
India Pale Ales,IPA - Belgian,Piraat Triple Hop Dry Hopped Ale,Brouwerij Van Steenberge N.V.,,,,,,,
India Pale Ales,IPA - Black / Cascadian Dark Ale,Project PAM,Founders Brewing Company,,,,,,,
India Pale Ales,IPA - Imperial,Burton Baton,Dogfish Head Craft Brewery,,,,,,,
