key,Style_Key,ABV,Avg_Rating,Min_IBU,Max_IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
5503,125,7.0,3.91,10,15,22,26,19,13,75,150,64,138,20,13,54
5504,125,4.5,3.81,10,15,59,23,9,7,58,146,25,141,14,10,48
5505,125,4.8,4.14,10,15,38,34,24,10,43,145,34,127,26,54,25
5506,125,5.0,4.4,10,15,30,17,9,45,41,111,17,91,66,9,7
5507,125,3.8,3.87,10,15,36,35,1,14,43,118,38,79,49,15,49
5508,125,4.2,4.06,10,15,43,34,10,20,31,159,40,123,10,9,37
5509,125,8.3,3.86,10,15,47,33,25,6,53,148,29,125,21,1,57
3851,89,12.3,4.65,50,80,9,114,102,79,77,4,0,4,31,20,183
3852,89,14.7,4.66,50,80,5,69,69,41,83,9,0,36,8,24,134
3853,89,10.5,4.4,50,80,4,101,27,62,88,10,1,15,29,9,137
3854,89,11.4,4.5,50,80,20,82,28,64,65,8,0,30,18,7,115
3855,89,12.9,4.73,50,80,6,65,28,82,48,3,0,8,9,26,143
3856,89,12.0,4.4,50,80,8,97,31,62,67,1,0,7,16,14,133
3857,89,11.3,4.7,50,80,3,116,57,47,112,4,1,8,18,21,150
3858,89,11.0,4.08,50,80,4,69,48,23,68,5,0,13,6,25,98
3859,89,13.0,4.53,50,80,2,72,37,70,60,3,0,5,20,103,109
3860,89,9.1,4.08,50,80,6,70,11,101,46,16,0,26,84,9,95
3861,89,9.5,4.22,50,80,16,120,30,137,83,16,0,10,105,10,146
3862,89,10.0,4.29,50,80,3,153,18,39,110,4,0,10,20,17,158
3863,89,9.5,4.42,50,80,13,92,23,114,60,4,0,10,42,29,143
3864,89,18.0,4.28,50,80,7,76,71,67,102,26,0,56,22,20,129
3865,89,11.2,4.57,50,80,5,95,65,30,54,11,0,22,11,11,97
3866,89,9.5,4.28,50,80,16,85,30,43,72,10,0,17,19,18,105
3867,89,9.2,3.97,50,80,6,83,22,87,42,7,1,6,30,2,116
3868,89,11.5,4.36,50,80,11,74,28,66,57,7,1,12,19,34,158
3869,89,10.2,4.62,50,80,5,69,21,42,52,9,0,17,3,90,79
3870,89,8.1,4.36,50,80,7,84,14,54,54,4,0,3,15,106,84
3871,89,19.5,4.59,50,80,3,70,95,25,106,17,1,43,3,30,126
3872,89,11.8,4.38,50,80,9,96,55,101,62,14,0,10,21,18,147
3873,89,9.0,4.21,50,80,22,76,14,53,82,33,4,29,33,17,111
