beer_name,beer_style,brewery,abv,rating,astringent,body,alcoholic,bitter,sweet,sour,salty,fruity,hoppy,spices,malty
Eisbock,Bock - Eisbock,Kulmbacher Brauerei AG,9.2%,4.14,20,127,99,46,221,52,0,96,29,23,20
Winter Wonder Lager,Bock - Eisbock,Kuhnhenn Brewing Company,13%,3.92,13,107,102,38,215,79,1,107,26,28,13
Dead Guy Ale,Bock - Maibock,Rogue Ales,6.8%,3.97,23,88,18,103,105,67,0,68,145,16,23
Andygator,Bock - Maibock,Abita Brewing Co.,8%,3.57,34,100,58,67,147,68,3,62,114,9,34
Mardi Gras Bock,Bock - Maibock,Abita Brewing Co.,6.5%,3.49,28,79,24,58,118,31,1,29,94,18,28
Hofbräu Maibock (Urbock),Bock - Maibock,Hofbräuhaus München,7.2%,3.91,36,74,43,80,128,38,0,32,116,17,36
Cultivator,Bock - Maibock,Tröegs Brewing Company,6.9%,3.85,60,104,48,118,115,61,3,62,210,16,60
Cabin Fever,Bock - Maibock,New Glarus Brewing Company,6%,3.61,42,92,16,51,208,29,3,32,102,8,42
Dundee Pale Bock Lager,Bock - Maibock,Genesee Brewing Co. / Dundee Brewing Co.,6.25%,3.44,40,85,28,62,110,39,0,32,79,24,40
Maibock,Bock - Maibock,Summit Brewing Company,6.7%,3.64,50,87,35,98,124,59,2,55,136,27,50
Mai-Ur-Bock,Bock - Maibock,Einbecker Brauhaus,6.5%,3.8,49,83,44,93,158,40,1,39,151,26,49
Samichlaus Bier Helles,Bock - Maibock,Brauerei Schloss Eggenberg,14%,3.84,24,80,139,35,230,54,0,85,50,27,24
Josephs Brau Heller Bock,Bock - Maibock,Trader Joe's Brewing Company,7%,3.46,37,82,43,77,93,29,1,30,123,31,37
Blonde Bock,Bock - Maibock,Gordon Biersch Brewery Restaurant,7%,3.36,31,76,55,79,132,42,0,44,99,5,31
Boss Tom's Golden Bock,Bock - Maibock,Boulevard Brewing Co.,6.1%,3.54,60,82,29,72,112,25,3,28,112,18,60
Maibock,Bock - Maibock,Capital Brewery,6.2%,3.8,30,108,41,71,114,41,1,33,102,26,30
Narragansett Bock,Bock - Maibock,Narragansett Brewing Co.,6.5%,3.87,40,102,23,97,162,45,2,49,158,30,40
Berkshire Maibock Lager,Bock - Maibock,Berkshire Brewing Company Inc.,6.5%,3.91,44,118,48,76,183,65,0,73,103,20,44
LTD Series - 04,Bock - Maibock,Full Sail Brewing Company,7%,3.6,58,90,60,99,82,53,1,45,163,16,58
Mai Bock,Bock - Maibock,Sprecher Brewing Company,6%,3.77,46,104,27,102,126,56,0,51,158,29,46
LTD Series - 02,Bock - Maibock,Full Sail Brewing Company,6.4%,3.67,43,84,40,98,117,66,3,73,130,20,43
Shiner Bock,Bock - Traditional,Spoetzl Brewery,4.5%,3.2,33,86,20,54,101,20,0,18,71,7,33
